id	name	QOL	PPI	SI	HI	COLI	PPIR	TI	PI	CI
262	Djibouti	no data	no data	no data	no data	no data	no data	no data	no data	no data
266	Gabon	no data	no data	no data	no data	no data	no data	no data	no data	no data
268	Georgia	121.14	31.15	75.7	54.25	30.18	12.03	35.4	69.28	84.2
270	Gambia	no data	no data	no data	no data	no data	no data	no data	no data	no data
275	"Palestinian Territory, Occupied"	no data	no data	no data	no data	no data	no data	no data	no data	no data
276	Germany	180.27	103.08	63.63	73.25	65.58	8.93	31.14	27.75	82.44
288	Ghana	no data	no data	no data	no data	no data	no data	no data	no data	no data
292	Gibraltar	no data	no data	no data	no data	no data	no data	no data	no data	no data
296	Kiribati	no data	no data	no data	no data	no data	no data	no data	no data	no data
300	Greece	129.24	39.73	52.59	57.31	56.22	10.12	33.8	51.94	94.18
304	Greenland	no data	no data	no data	no data	no data	no data	no data	no data	no data
308	Grenada	no data	no data	no data	no data	no data	no data	no data	no data	no data
312	Guadeloupe	no data	no data	no data	no data	no data	no data	no data	no data	no data
316	Guam	no data	no data	no data	no data	no data	no data	no data	no data	no data
320	Guatemala	no data	no data	no data	no data	no data	no data	no data	no data	no data
324	Guinea	no data	no data	no data	no data	no data	no data	no data	no data	no data
328	Guyana	no data	no data	no data	no data	no data	no data	no data	no data	no data
332	Haiti	no data	no data	no data	no data	no data	no data	no data	no data	no data
334	Heard Island and McDonald Islands	no data	no data	no data	no data	no data	no data	no data	no data	no data
336	Holy See (Vatican City State)	no data	no data	no data	no data	no data	no data	no data	no data	no data
340	Honduras	no data	no data	no data	no data	no data	no data	no data	no data	no data
344	Hong Kong	98.42	65.74	78.08	66.34	80.71	46.93	42.56	67.57	83.64
348	Hungary	137.15	51.98	65.71	53.44	40.66	10.88	35.55	47.89	80.29
352	Iceland	182.26	77.06	76.47	66.36	94.86	6.36	19.77	15.83	68.81
356	India	110.99	49.72	55.37	65.66	24.43	10.16	46.52	73.05	65.13
360	Indonesia	90.36	21.07	53.88	60.44	35.85	21.92	43.46	67.17	68.48
364	"Iran, Islamic Republic of"	64.89	17.98	50.89	52.3	37.39	33	47.12	75.4	65.69
368	Iraq	no data	no data	no data	no data	no data	no data	no data	no data	no data
372	Ireland	154.52	82.27	54.52	52.34	76.05	6.51	37.93	34.81	89.13
376	Israel	146.06	75.58	67.88	73.83	88.05	13.51	36.37	57.72	94.01
380	Italy	141.07	61.74	54.8	66.79	66.47	8.61	33.75	54.14	91.45
384	Côte d'Ivoire	no data	no data	no data	no data	no data	no data	no data	no data	no data
388	Jamaica	no data	no data	no data	no data	no data	no data	no data	no data	no data
392	Japan	169.48	87.11	77.88	80.49	77.03	11.02	40.65	38.82	85.27
398	Kazakhstan	93.77	32.23	46.55	59.99	28.68	10.48	34.73	73.4	39.78
400	Jordan	113.92	31.34	59.76	65.57	49.19	8.02	41.25	76.26	89.05
404	Kenya	92.54	32.18	43.79	63.4	33.92	24.24	53.98	69.34	99.79
408	"Korea, Democratic People's Republic of"	no data	no data	no data	no data	no data	no data	no data	no data	no data
410	"Korea, Republic of"	125.04	76.85	73.51	82.72	73.22	29.4	40.02	62.42	68.39
414	Kuwait	117.34	78.57	66.59	59.42	48.68	12.26	33.34	66.15	20.22
417	Kyrgyzstan	no data	no data	no data	no data	no data	no data	no data	no data	no data
418	Lao People's Democratic Republic	no data	no data	no data	no data	no data	no data	no data	no data	no data
422	Lebanon	99.35	35.12	53.13	62.75	69.62	12.2	38.53	89.27	94.74
426	Lesotho	no data	no data	no data	no data	no data	no data	no data	no data	no data
428	Latvia	150.81	51.65	61.35	62.43	48.45	8.13	31.21	32.72	74.7
430	Liberia	no data	no data	no data	no data	no data	no data	no data	no data	no data
434	Libya	no data	no data	no data	no data	no data	no data	no data	no data	no data
438	Liechtenstein	no data	no data	no data	no data	no data	no data	no data	no data	no data
440	Lithuania	161.84	58.74	66.72	71.94	45.65	10.98	26.03	26.74	67.76
442	Luxembourg	173.63	98.84	64.29	70.79	80.5	13.55	32.71	23.92	82.62
446	Macao	no data	no data	no data	no data	no data	no data	no data	no data	no data
450	Madagascar	no data	no data	no data	no data	no data	no data	no data	no data	no data
454	Malawi	no data	no data	no data	no data	no data	no data	no data	no data	no data
458	Malaysia	117.98	55.3	44.29	70.14	37.02	9.78	37.22	62.11	57.48
462	Maldives	no data	no data	no data	no data	no data	no data	no data	no data	no data
466	Mali	no data	no data	no data	no data	no data	no data	no data	no data	no data
470	Malta	109.5	44.18	59.18	45.56	67.84	13.11	29.1	81.02	97.44
474	Martinique	no data	no data	no data	no data	no data	no data	no data	no data	no data
478	Mauritania	no data	no data	no data	no data	no data	no data	no data	no data	no data
480	Mauritius	no data	no data	no data	no data	no data	no data	no data	no data	no data
484	Mexico	124.9	38.62	46.32	72.83	35.35	8.69	39.29	58.46	84.01
492	Monaco	no data	no data	no data	no data	no data	no data	no data	no data	no data
496	Mongolia	no data	no data	no data	no data	no data	no data	no data	no data	no data
498	"Moldova, Republic of"	no data	no data	no data	no data	no data	no data	no data	no data	no data
499	Montenegro	no data	no data	no data	no data	no data	no data	no data	no data	no data
500	Montserrat	no data	no data	no data	no data	no data	no data	no data	no data	no data
504	Morocco	107.54	34.36	50.93	46.69	33.83	12.6	36.3	69.34	90.04
508	Mozambique	no data	no data	no data	no data	no data	no data	no data	no data	no data
512	Oman	173.68	84.24	80.01	58.23	49.42	4.59	22.76	37.21	67.22
516	Namibia	no data	no data	no data	no data	no data	no data	no data	no data	no data
520	Nauru	no data	no data	no data	no data	no data	no data	no data	no data	no data
524	Nepal	no data	no data	no data	no data	no data	no data	no data	no data	no data
528	Netherlands	185.38	87.99	72.12	75.56	75.66	7.15	27.4	25.07	87.11
531	Curaçao	no data	no data	no data	no data	no data	no data	no data	no data	no data
533	Aruba	no data	no data	no data	no data	no data	no data	no data	no data	no data
